# mode=collision,n=8000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=3D,ticks=707,frames=6,measured_ticks=532,startup_ms=1239.6,glfw_first_draw_ms=1167.67,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1239.6,process_to_first_frame
glfw_ms,1167.67,glfw_init_to_first_frame
mem_ws_bytes,1.12267e+08,baseline
mem_private_bytes,1.80851e+08,baseline
mem_peak_ws_bytes,1.12267e+08,baseline
mem_ws_bytes,1.15798e+08,after_spawn
mem_private_bytes,1.84623e+08,after_spawn
mem_peak_ws_bytes,1.15798e+08,after_spawn
tick_us,6779.2,3218
tick_us,6379.8,3218
tick_us,6337.2,3234
tick_us,6823.6,3192
tick_us,6680.8,3198
tick_us,6510.5,3176
tick_us,6472,3168
tick_us,6626.1,3194
tick_us,7115.8,3206
tick_us,6488.7,3196
tick_us,6415,3170
tick_us,6355.6,3142
tick_us,6764.8,3164
tick_us,6772.1,3176
tick_us,6584.2,3186
tick_us,6802.3,3186
tick_us,6721.7,3180
tick_us,6341.8,3186
tick_us,6468.8,3184
tick_us,6424.7,3156
tick_us,6788.5,3140
tick_us,6835,3130
tick_us,6447.6,3130
tick_us,6366.9,3156
tick_us,6377.5,3142
tick_us,6350,3146
tick_us,6567.3,3140
tick_us,6759,3148
tick_us,6760.2,3182
tick_us,6727.6,3152
tick_us,6288.9,3160
tick_us,6901,3156
tick_us,6391.5,3158
tick_us,6504.3,3154
tick_us,6413.6,3100
tick_us,7054,3072
tick_us,6604.3,3060
tick_us,6395.2,3046
tick_us,6451.1,3068
tick_us,7009.6,3052
tick_us,6462.6,3100
tick_us,6886.7,3084
tick_us,6986.9,3112
tick_us,6723.2,3128
tick_us,6437.3,3104
tick_us,6277.4,3094
tick_us,6536.6,3154
tick_us,6469.5,3218
tick_us,6289.9,3226
tick_us,6510.5,3200
tick_us,6402.5,3218
tick_us,6447.6,3222
tick_us,6383.6,3184
tick_us,6327.6,3216
tick_us,6604,3224
tick_us,6306.9,3234
tick_us,6269.8,3208
tick_us,6380.8,3184
tick_us,6362,3186
tick_us,7699,3176
tick_us,6587.7,3206
tick_us,6379.5,3184
tick_us,6502.4,3216
tick_us,6234,3238
tick_us,6326,3252
tick_us,6333,3260
tick_us,6650.4,3264
tick_us,6717,3292
tick_us,6637.3,3300
tick_us,6325.7,3264
tick_us,9253.7,3278
tick_us,7115,3294
tick_us,6749.8,3276
tick_us,6394.5,3270
tick_us,6450.9,3248
tick_us,6440.5,3200
tick_us,6503.8,3194
tick_us,6913.8,3224
tick_us,7224.5,3202
tick_us,7678.3,3242
tick_us,7107.8,3216
tick_us,7495.6,3206
tick_us,6906.7,3242
tick_us,6975,3282
tick_us,6551.4,3304
tick_us,6932.7,3282
tick_us,6953.8,3312
tick_us,6344.1,3350
tick_us,6266.3,3374
tick_us,6424.6,3376
tick_us,6334,3364
tick_us,6322.8,3358
tick_us,6342.3,3366
tick_us,6717.6,3356
tick_us,6895.8,3360
tick_us,6484,3366
tick_us,6501.8,3360
tick_us,6355.9,3382
tick_us,6484.5,3376
tick_us,6585.2,3370
tick_us,7165.4,3320
tick_us,7510.5,3296
tick_us,6680.8,3282
tick_us,6348.2,3290
tick_us,6325.8,3318
tick_us,6880.3,3314
tick_us,6600.5,3338
tick_us,6527.7,3330
tick_us,6851.4,3318
tick_us,7418.4,3324
tick_us,6803,3308
tick_us,6802.2,3308
tick_us,6766.5,3276
tick_us,6720.9,3274
tick_us,8591.6,3284
tick_us,7263.9,3282
tick_us,6734.2,3246
tick_us,7008.7,3242
tick_us,6735.2,3188
tick_us,6340.9,3224
tick_us,6318.7,3198
tick_us,6968.1,3208
tick_us,6823.3,3198
tick_us,6970,3192
tick_us,6773.7,3172
tick_us,6968.9,3158
tick_us,7682.4,3190
tick_us,7011.4,3196
tick_us,6739.9,3198
tick_us,6923.5,3226
tick_us,7253.5,3226
tick_us,7011.2,3216
tick_us,6437.2,3236
tick_us,6364.2,3244
tick_us,6696.8,3276
tick_us,6550.5,3298
tick_us,6634.9,3304
tick_us,6555.3,3350
tick_us,6506.9,3354
tick_us,6741,3380
tick_us,6704,3404
tick_us,7184.2,3392
tick_us,6987.6,3374
tick_us,6794.9,3348
tick_us,6715.4,3310
tick_us,7120.8,3326
tick_us,6769.2,3332
tick_us,8037.2,3366
tick_us,6707.2,3344
tick_us,6831.9,3346
tick_us,6622.5,3366
tick_us,6557.3,3354
tick_us,6417,3316
tick_us,7019.7,3308
tick_us,6563.2,3284
tick_us,6493.7,3302
tick_us,6721.4,3308
tick_us,6511.9,3316
tick_us,6631.3,3254
tick_us,6883.2,3252
tick_us,6914.1,3254
tick_us,6305.8,3290
tick_us,6472,3262
tick_us,6542.2,3208
tick_us,6383.5,3196
tick_us,6749.1,3236
tick_us,7156.7,3276
tick_us,6850,3318
tick_us,6615.2,3332
tick_us,6444,3370
tick_us,6658.3,3404
tick_us,6400.5,3372
tick_us,6768.5,3308
tick_us,7507.8,3298
tick_us,7982.7,3242
tick_us,7329.6,3236
tick_us,8202.5,3262
tick_us,6811.6,3240
tick_us,6914.6,3240
frame_ms,2452.91,
tick_us,6536.8,3262
tick_us,6812.5,3280
tick_us,6455.6,3250
tick_us,7687.2,3280
tick_us,6997.1,3296
tick_us,7147.3,3316
tick_us,6770,3294
tick_us,6637.6,3266
tick_us,6439.1,3266
tick_us,6649.7,3294
tick_us,6682.7,3296
tick_us,6459.6,3288
tick_us,6312.1,3292
tick_us,6349.9,3314
tick_us,6674.9,3330
tick_us,6807.3,3336
tick_us,6634.9,3326
tick_us,6590.3,3340
tick_us,6628.6,3340
tick_us,6930.8,3348
tick_us,6848.4,3362
tick_us,6344.6,3380
tick_us,6844.1,3392
tick_us,6530.9,3396
tick_us,6546.6,3404
tick_us,6484.1,3394
tick_us,7324.8,3398
tick_us,6972.7,3444
tick_us,6784.1,3468
tick_us,6636.3,3450
tick_us,6602.1,3450
tick_us,6518.4,3446
tick_us,6415.4,3400
tick_us,6970.4,3388
tick_us,6444.3,3372
tick_us,6899.5,3334
tick_us,6648.3,3302
tick_us,6375.7,3280
tick_us,6298.4,3224
tick_us,6413.2,3228
tick_us,6379,3236
tick_us,6650.6,3198
tick_us,6762.8,3168
tick_us,6477.9,3192
tick_us,6349,3156
tick_us,6383.2,3150
tick_us,6376.7,3126
tick_us,6486.1,3148
tick_us,6435,3126
tick_us,6356.8,3134
tick_us,6420,3136
tick_us,6466.7,3162
tick_us,6327.2,3194
tick_us,6382.6,3204
tick_us,6334.8,3170
tick_us,6522,3152
tick_us,7419.9,3162
tick_us,6711.5,3154
tick_us,6414.1,3186
tick_us,6443.4,3230
tick_us,6377,3250
tick_us,7209.6,3210
tick_us,8320.4,3196
tick_us,6916.5,3230
tick_us,6451.6,3210
tick_us,6494.4,3204
tick_us,6342,3238
tick_us,6401.9,3262
tick_us,6401.6,3258
tick_us,6471.7,3250
tick_us,6902.8,3236
tick_us,6868.1,3246
tick_us,6587.3,3210
tick_us,6376.4,3200
tick_us,6526.2,3222
tick_us,6475.4,3218
tick_us,6417.6,3218
tick_us,6376.9,3202
tick_us,6873.4,3202
tick_us,7179.7,3192
tick_us,6563.2,3206
tick_us,6357.1,3208
tick_us,6371.5,3166
tick_us,6289.9,3180
tick_us,6955.2,3206
tick_us,6544.1,3196
tick_us,7349.6,3196
tick_us,6478.6,3188
tick_us,6334.5,3144
tick_us,6619.1,3108
tick_us,6415.8,3154
tick_us,6329.9,3198
tick_us,6659.6,3188
tick_us,7197.4,3260
tick_us,8062.4,3280
tick_us,6608,3240
tick_us,6357,3262
tick_us,6972.3,3260
tick_us,6475.1,3254
tick_us,6900.8,3272
tick_us,6682.5,3262
tick_us,7103.3,3250
tick_us,7129,3226
tick_us,6750,3202
tick_us,6594.2,3216
tick_us,6353.6,3210
tick_us,6358.4,3190
tick_us,6425.3,3206
tick_us,6486,3194
tick_us,6353,3208
tick_us,6504.3,3182
tick_us,6295.4,3200
tick_us,6522.5,3192
tick_us,6341.6,3130
tick_us,6985.7,3126
tick_us,6484.3,3114
tick_us,6702.3,3116
tick_us,6294.8,3092
tick_us,8094.3,3102
tick_us,6753.7,3136
tick_us,6707.1,3148
tick_us,6412.7,3164
tick_us,6649.9,3120
tick_us,7973.5,3096
tick_us,7597.9,3112
tick_us,7100.6,3102
tick_us,6405.5,3068
tick_us,7947.7,3112
tick_us,6731.7,3092
tick_us,6859.4,3106
tick_us,6830.7,3126
tick_us,6595,3116
tick_us,6614.9,3138
tick_us,6727.9,3170
tick_us,6565.1,3168
tick_us,7037.3,3198
tick_us,8150.8,3166
tick_us,7119.8,3188
tick_us,6561.4,3154
tick_us,6849.3,3156
tick_us,6757,3172
tick_us,6716.9,3152
tick_us,7539.6,3152
tick_us,6816.7,3130
tick_us,7759.8,3174
tick_us,6444.2,3168
tick_us,6897.6,3140
tick_us,6569.4,3178
tick_us,6966,3192
tick_us,6877.5,3170
tick_us,6853.1,3206
tick_us,6713.6,3160
tick_us,7079.7,3134
tick_us,6500.9,3148
tick_us,6349.1,3154
tick_us,7043.6,3148
tick_us,6759.1,3134
tick_us,6410.4,3128
tick_us,6392,3156
tick_us,6624.3,3152
tick_us,6732.9,3148
tick_us,6416.1,3154
tick_us,6669.5,3126
tick_us,7039.7,3148
tick_us,6472,3128
tick_us,6366.2,3132
tick_us,7865.4,3132
tick_us,6803,3132
tick_us,6874.3,3118
tick_us,6489,3166
tick_us,6588.3,3202
tick_us,6567.5,3192
tick_us,7748.2,3202
tick_us,6882.2,3198
tick_us,8799.9,3184
tick_us,8179.8,3170
tick_us,7114.7,3174
tick_us,6544.4,3188
tick_us,6977.1,3216
tick_us,7279.3,3210
tick_us,7407.8,3232
tick_us,7592.7,3220
tick_us,7004.6,3178
tick_us,6532.6,3184
tick_us,6848.8,3194
tick_us,6795.4,3156
tick_us,6565.1,3168
tick_us,7022,3200
tick_us,7974.4,3146
tick_us,6797,3144
tick_us,6449.2,3140
tick_us,6594.6,3178
tick_us,8011.6,3188
tick_us,7534.4,3196
tick_us,7322.5,3200
tick_us,7191.2,3194
tick_us,6420.3,3260
tick_us,6940.6,3272
tick_us,6933.9,3288
tick_us,6676.7,3272
tick_us,6715.7,3246
tick_us,6445.5,3202
tick_us,6796,3210
tick_us,6402.7,3206
tick_us,7117.3,3232
tick_us,7047.4,3228
tick_us,6618.2,3236
tick_us,6360.6,3240
tick_us,6416.2,3256
tick_us,6363.4,3254
tick_us,7038.2,3254
tick_us,6912.7,3292
tick_us,7156.8,3310
tick_us,6704.8,3288
tick_us,6529,3260
tick_us,6867,3238
tick_us,6786,3228
tick_us,7229,3256
tick_us,7241.5,3264
tick_us,6868.7,3254
tick_us,8288.7,3262
tick_us,7263.1,3274
tick_us,7202.9,3244
tick_us,7223.8,3266
tick_us,6778.1,3264
tick_us,7034.2,3294
tick_us,6871.7,3308
tick_us,6623.6,3282
tick_us,6674.8,3274
tick_us,7353.9,3272
tick_us,7022,3268
tick_us,6606.6,3288
tick_us,7146.3,3294
tick_us,7240.1,3348
tick_us,7964.3,3378
tick_us,6991,3384
tick_us,6549.3,3354
tick_us,6416.8,3332
tick_us,8169,3316
tick_us,7181.8,3324
tick_us,7005.2,3302
tick_us,6828.3,3332
tick_us,6521.5,3328
tick_us,6788.7,3352
tick_us,6605.7,3312
tick_us,6741.3,3296
tick_us,7152.6,3268
tick_us,7407.3,3294
tick_us,6840.6,3306
tick_us,7280.3,3290
tick_us,7039.2,3292
tick_us,6440.9,3316
tick_us,7083.4,3328
tick_us,6634.7,3334
tick_us,6625.4,3338
tick_us,6913.8,3338
tick_us,6554.9,3332
tick_us,6582.2,3360
tick_us,6826.4,3360
tick_us,6564.5,3318
tick_us,7107.6,3332
tick_us,7528.2,3346
tick_us,6714.9,3324
tick_us,7881.5,3304
tick_us,7611.4,3300
tick_us,7708.1,3350
tick_us,7085,3344
tick_us,7477.2,3344
tick_us,6763.6,3330
tick_us,6946,3330
tick_us,6991.5,3334
tick_us,6430.1,3286
tick_us,6391.6,3242
tick_us,6457.7,3236
tick_us,6580.8,3274
tick_us,7166.5,3256
tick_us,6785.3,3272
tick_us,6765.6,3270
tick_us,6467.9,3238
tick_us,6486.2,3242
tick_us,6284.3,3250
tick_us,6828.7,3238
tick_us,6312.9,3236
tick_us,6413.8,3226
tick_us,6564.3,3240
tick_us,6499.8,3260
tick_us,6535.1,3270
tick_us,6476.4,3266
tick_us,6458.5,3272
tick_us,6823.1,3280
tick_us,6652.7,3296
tick_us,6871.9,3332
tick_us,6267.3,3314
tick_us,6296.2,3276
tick_us,6523.1,3288
tick_us,6840.2,3278
tick_us,6498,3298
tick_us,6951.9,3332
tick_us,6954.3,3336
tick_us,6769.8,3384
tick_us,6730.5,3392
tick_us,6451,3398
tick_us,8203.1,3372
tick_us,8561.8,3348
tick_us,9241,3364
tick_us,9825,3348
tick_us,9356.8,3360
tick_us,8197.9,3342
tick_us,8818,3342
tick_us,9496.6,3344
tick_us,9535.4,3324
tick_us,9291.7,3330
tick_us,9450.8,3300
tick_us,8165,3302
tick_us,7403.4,3256
tick_us,7271.3,3284
tick_us,7086.1,3320
tick_us,7042.3,3322
tick_us,6491.4,3294
tick_us,7997.6,3270
tick_us,7001.1,3238
tick_us,6736.1,3246
