# mode=collision,n=8000,struct=quadtree,cell=64,depth=5,node=4,seed=42,warmup_s=2,measure_s=5,config=3D,ticks=785,frames=3,measured_ticks=716,startup_ms=1245.9,glfw_first_draw_ms=1175.98,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1245.9,process_to_first_frame
glfw_ms,1175.98,glfw_init_to_first_frame
mem_ws_bytes,1.12189e+08,baseline
mem_private_bytes,1.7945e+08,baseline
mem_peak_ws_bytes,1.12189e+08,baseline
mem_ws_bytes,1.1556e+08,after_spawn
mem_private_bytes,1.8287e+08,after_spawn
mem_peak_ws_bytes,1.1556e+08,after_spawn
tick_us,38503.7,1718
tick_us,38199.8,1709
tick_us,38357.6,1690
tick_us,41649.9,1675
tick_us,40627.8,1682
tick_us,38221.1,1694
tick_us,38474,1706
tick_us,38242.3,1706
tick_us,41690.6,1693
tick_us,38465.3,1690
tick_us,39319.1,1673
tick_us,39262.6,1681
tick_us,37620.6,1687
tick_us,37663.3,1689
tick_us,38748.6,1679
tick_us,38853.9,1676
tick_us,37766.7,1662
tick_us,36903.2,1663
tick_us,36553.3,1667
tick_us,35990.2,1658
tick_us,35268.1,1659
tick_us,36166.9,1656
tick_us,36255.1,1647
tick_us,36885.5,1640
tick_us,39502.1,1635
tick_us,38467.4,1626
tick_us,37684.7,1639
tick_us,36732.8,1627
tick_us,37342.9,1623
tick_us,36696,1615
tick_us,39071.3,1613
tick_us,37777.4,1622
tick_us,37240.6,1604
tick_us,37400.7,1601
tick_us,36637.4,1592
tick_us,37009.5,1595
tick_us,36841.7,1583
tick_us,37797.1,1588
tick_us,39736.2,1580
tick_us,38810.8,1567
tick_us,39696.8,1559
tick_us,38843.1,1547
tick_us,38241.4,1534
tick_us,40731.9,1533
tick_us,39134.5,1532
tick_us,38783.9,1528
tick_us,39320.9,1543
tick_us,40007.6,1543
tick_us,38959.1,1569
tick_us,39313.3,1574
tick_us,39865.2,1569
tick_us,38937.9,1576
tick_us,38059.8,1593
tick_us,38949.1,1584
tick_us,38697.3,1580
tick_us,39028.7,1588
tick_us,40939.3,1596
tick_us,39413.4,1585
tick_us,38664.9,1584
tick_us,39799,1582
tick_us,42874.7,1576
tick_us,39640.2,1566
tick_us,39797.9,1561
tick_us,38969.7,1566
tick_us,39182.9,1574
tick_us,38768.7,1577
tick_us,39826.1,1595
tick_us,37966.7,1580
tick_us,40091.1,1599
tick_us,42513.5,1603
tick_us,38662.6,1593
tick_us,38435.6,1604
tick_us,38698.8,1614
tick_us,38175.8,1615
tick_us,38663,1617
tick_us,38482.2,1605
tick_us,40630.8,1623
tick_us,37692.2,1620
tick_us,38578.2,1622
tick_us,37600.9,1608
tick_us,36664.9,1616
tick_us,36491.7,1607
tick_us,36358.4,1606
tick_us,36357.7,1593
tick_us,37675.4,1586
tick_us,37713.2,1586
tick_us,37088.4,1583
tick_us,35938.7,1587
