# mode=render,n=500,struct=grid,cell=64,depth=5,node=4,seed=43,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=8617,measured_ticks=0,startup_ms=365.551,glfw_first_draw_ms=299.699,renderer=Intel(R) Graphics,gl=3.3.0 - Build 32.0.101.8724
kind,value,extra
startup_ms,365.551,process_to_first_frame
glfw_ms,299.699,glfw_init_to_first_frame
mem_ws_bytes,7.96262e+07,baseline
mem_private_bytes,5.20233e+07,baseline
mem_peak_ws_bytes,7.96262e+07,baseline
mem_ws_bytes,7.97204e+07,after_spawn
mem_private_bytes,5.20233e+07,after_spawn
mem_peak_ws_bytes,7.97204e+07,after_spawn
frame_ms,0.7658,
frame_ms,1.052,
frame_ms,1.0007,
frame_ms,0.9437,
frame_ms,0.8415,
frame_ms,0.7622,
frame_ms,0.7821,
frame_ms,0.8739,
frame_ms,0.7895,
frame_ms,0.8055,
frame_ms,0.7941,
frame_ms,0.8954,
frame_ms,0.811,
frame_ms,1.0511,
frame_ms,0.7988,
frame_ms,1.233,
frame_ms,0.7624,
frame_ms,0.7389,
frame_ms,0.7386,
frame_ms,0.7418,
frame_ms,1.0295,
frame_ms,0.8432,
frame_ms,0.7841,
frame_ms,0.7839,
frame_ms,0.7495,
frame_ms,0.788,
frame_ms,0.8512,
frame_ms,0.7396,
frame_ms,0.7461,
frame_ms,0.7392,
frame_ms,0.7375,
frame_ms,0.7735,
frame_ms,0.777,
frame_ms,0.7428,
frame_ms,0.7508,
frame_ms,0.7857,
frame_ms,0.7815,
frame_ms,0.7535,
frame_ms,0.7507,
frame_ms,0.8212,
frame_ms,0.7621,
frame_ms,0.7832,
frame_ms,0.7405,
frame_ms,0.7999,
frame_ms,0.7535,
frame_ms,0.7648,
frame_ms,0.7943,
frame_ms,0.928,
frame_ms,0.8061,
frame_ms,0.7868,
frame_ms,0.7911,
frame_ms,0.7551,
frame_ms,0.7441,
frame_ms,0.7604,
frame_ms,0.7321,
frame_ms,0.8723,
frame_ms,0.763,
frame_ms,0.7275,
frame_ms,0.7495,
frame_ms,0.8244,
frame_ms,0.8041,
frame_ms,0.7392,
frame_ms,0.7519,
frame_ms,0.7514,
frame_ms,0.7585,
frame_ms,2.0912,
frame_ms,0.9593,
frame_ms,0.9766,
frame_ms,0.823,
frame_ms,0.8524,
frame_ms,0.8054,
frame_ms,0.759,
frame_ms,0.7573,
frame_ms,0.7451,
frame_ms,0.7307,
frame_ms,0.7569,
frame_ms,0.7315,
frame_ms,0.7658,
frame_ms,0.7496,
frame_ms,0.7487,
frame_ms,0.7512,
frame_ms,0.7397,
frame_ms,0.754,
frame_ms,0.796,
frame_ms,0.8139,
frame_ms,0.7582,
frame_ms,0.7549,
frame_ms,0.7358,
frame_ms,0.7674,
frame_ms,0.765,
frame_ms,0.7524,
frame_ms,0.7404,
frame_ms,0.7507,
frame_ms,0.7679,
frame_ms,0.763,
frame_ms,0.7407,
frame_ms,0.7284,
