# mode=scene,n=1000,struct=grid,cell=64,depth=5,node=4,seed=43,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=4560,measured_ticks=0,startup_ms=351.036,glfw_first_draw_ms=284.124,renderer=Intel(R) Graphics,gl=3.3.0 - Build 32.0.101.8724
kind,value,extra
startup_ms,351.036,process_to_first_frame
glfw_ms,284.124,glfw_init_to_first_frame
mem_ws_bytes,7.94788e+07,baseline
mem_private_bytes,5.25066e+07,baseline
mem_peak_ws_bytes,7.94788e+07,baseline
mem_ws_bytes,7.99662e+07,after_spawn
mem_private_bytes,5.25066e+07,after_spawn
mem_peak_ws_bytes,7.99662e+07,after_spawn
frame_ms,2.0906,
frame_ms,1.3695,
frame_ms,1.9684,
frame_ms,1.78,
frame_ms,1.8514,
frame_ms,1.3716,
frame_ms,1.2972,
frame_ms,1.4625,
frame_ms,1.8287,
frame_ms,1.323,
frame_ms,1.3074,
frame_ms,1.5511,
frame_ms,1.3331,
frame_ms,2.023,
frame_ms,1.4606,
frame_ms,1.3395,
frame_ms,1.2895,
frame_ms,1.7346,
frame_ms,1.6472,
frame_ms,1.4375,
frame_ms,1.2903,
frame_ms,1.8758,
frame_ms,2.201,
frame_ms,1.4494,
frame_ms,1.3789,
frame_ms,1.3432,
frame_ms,1.8245,
frame_ms,1.3891,
frame_ms,1.2938,
frame_ms,1.3188,
frame_ms,1.6565,
frame_ms,2.1047,
frame_ms,1.6484,
frame_ms,1.3306,
frame_ms,1.2656,
frame_ms,1.6533,
frame_ms,1.3735,
frame_ms,1.6118,
frame_ms,1.3641,
frame_ms,1.2972,
frame_ms,1.8489,
frame_ms,1.6552,
frame_ms,1.4257,
frame_ms,1.3615,
frame_ms,2.0301,
frame_ms,1.6496,
frame_ms,1.3945,
frame_ms,1.3663,
frame_ms,1.3076,
frame_ms,1.7758,
frame_ms,1.6994,
frame_ms,1.3673,
frame_ms,1.3281,
frame_ms,1.6808,
frame_ms,1.3271,
frame_ms,1.4221,
frame_ms,1.4693,
frame_ms,1.3092,
frame_ms,1.6799,
frame_ms,1.6766,
frame_ms,1.3393,
frame_ms,1.3388,
frame_ms,1.3569,
frame_ms,1.9694,
frame_ms,1.7341,
frame_ms,1.4029,
frame_ms,1.3094,
frame_ms,1.8419,
frame_ms,1.3458,
frame_ms,1.5657,
frame_ms,1.331,
frame_ms,1.3202,
frame_ms,1.6457,
frame_ms,1.559,
frame_ms,1.6452,
frame_ms,1.3505,
