# mode=memory,n=1000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=3243,measured_ticks=0,startup_ms=1263,glfw_first_draw_ms=1197.02,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1263,process_to_first_frame
glfw_ms,1197.02,glfw_init_to_first_frame
mem_ws_bytes,1.1257e+08,baseline
mem_private_bytes,1.81334e+08,baseline
mem_peak_ws_bytes,1.1257e+08,baseline
mem_ws_bytes,1.12742e+08,after_spawn
mem_private_bytes,1.81477e+08,after_spawn
mem_peak_ws_bytes,1.12742e+08,after_spawn
frame_ms,1.8853,
frame_ms,1.8898,
frame_ms,1.8991,
frame_ms,2.2819,
frame_ms,1.9022,
frame_ms,1.9295,
frame_ms,2.3865,
frame_ms,1.8904,
frame_ms,1.8722,
frame_ms,1.8777,
frame_ms,2.2771,
frame_ms,1.8765,
frame_ms,1.9196,
frame_ms,2.269,
frame_ms,2.001,
frame_ms,1.8709,
frame_ms,1.8852,
frame_ms,2.2932,
frame_ms,1.9047,
frame_ms,1.8743,
frame_ms,2.3475,
frame_ms,1.883,
frame_ms,1.9387,
frame_ms,2.3287,
frame_ms,1.9426,
frame_ms,1.9197,
frame_ms,1.8833,
frame_ms,2.2999,
frame_ms,1.8871,
frame_ms,1.8745,
frame_ms,2.3578,
frame_ms,1.8719,
frame_ms,1.8839,
frame_ms,1.882,
frame_ms,2.2841,
frame_ms,1.9896,
frame_ms,1.884,
frame_ms,2.4659,
frame_ms,2.0165,
frame_ms,1.9052,
frame_ms,2.2909,
frame_ms,1.8968,
frame_ms,1.8738,
frame_ms,1.8695,
frame_ms,2.2685,
frame_ms,1.9631,
frame_ms,1.8869,
frame_ms,2.2711,
frame_ms,1.883,
frame_ms,1.8787,
frame_ms,1.9444,
frame_ms,2.2633,
frame_ms,1.8876,
frame_ms,1.9502,
frame_ms,2.301,
frame_ms,1.9619,
frame_ms,1.9697,
frame_ms,1.9615,
frame_ms,2.3523,
frame_ms,1.9614,
frame_ms,1.9942,
frame_ms,2.4263,
frame_ms,1.9722,
frame_ms,1.9487,
frame_ms,2.3791,
frame_ms,1.9744,
frame_ms,1.9389,
frame_ms,1.937,
frame_ms,2.9591,
frame_ms,2.0525,
frame_ms,1.9058,
frame_ms,2.2845,
frame_ms,1.8944,
frame_ms,1.9001,
frame_ms,2.2711,
frame_ms,1.8844,
frame_ms,2.019,
frame_ms,2.2732,
frame_ms,1.8647,
frame_ms,1.928,
frame_ms,1.8859,
frame_ms,2.2674,
frame_ms,1.8927,
frame_ms,2.7854,
frame_ms,2.5046,
frame_ms,1.931,
frame_ms,1.8732,
frame_ms,2.2806,
frame_ms,1.8818,
frame_ms,1.8646,
frame_ms,1.8653,
frame_ms,2.2545,
frame_ms,1.8918,
frame_ms,1.9165,
frame_ms,2.2545,
frame_ms,1.8929,
frame_ms,1.8616,
frame_ms,1.8718,
frame_ms,2.2722,
frame_ms,1.9036,
frame_ms,1.8738,
frame_ms,2.2477,
frame_ms,1.8675,
frame_ms,1.859,
frame_ms,1.8689,
frame_ms,2.2542,
frame_ms,1.8705,
frame_ms,1.8982,
frame_ms,2.2864,
frame_ms,1.8745,
frame_ms,1.8672,
frame_ms,1.8725,
frame_ms,2.2692,
frame_ms,1.8813,
frame_ms,1.8798,
frame_ms,2.2735,
frame_ms,1.8907,
frame_ms,1.8792,
frame_ms,1.8812,
frame_ms,2.2751,
frame_ms,1.8658,
frame_ms,1.8661,
frame_ms,2.271,
frame_ms,1.899,
frame_ms,1.9288,
frame_ms,1.8673,
frame_ms,2.3027,
frame_ms,1.871,
frame_ms,1.86,
frame_ms,2.2528,
frame_ms,3.0967,
frame_ms,1.9847,
frame_ms,2.3258,
frame_ms,1.8809,
frame_ms,1.8801,
frame_ms,2.266,
frame_ms,1.9016,
frame_ms,1.8885,
frame_ms,1.9016,
frame_ms,2.2841,
frame_ms,1.871,
frame_ms,1.911,
frame_ms,2.2688,
frame_ms,1.8578,
frame_ms,1.8779,
frame_ms,1.8548,
frame_ms,2.2615,
frame_ms,1.8886,
frame_ms,1.8705,
frame_ms,2.2469,
frame_ms,1.8771,
frame_ms,1.8705,
frame_ms,1.87,
frame_ms,2.469,
frame_ms,1.8903,
frame_ms,1.878,
frame_ms,2.2969,
frame_ms,1.8775,
frame_ms,1.8765,
frame_ms,1.8755,
frame_ms,2.2595,
frame_ms,1.8801,
frame_ms,1.8534,
frame_ms,2.2429,
frame_ms,1.8669,
frame_ms,1.8688,
frame_ms,1.8741,
frame_ms,2.246,
frame_ms,1.9271,
frame_ms,1.8734,
frame_ms,2.2404,
frame_ms,1.8806,
frame_ms,1.8729,
frame_ms,1.8689,
frame_ms,2.2775,
frame_ms,1.8638,
frame_ms,2.0583,
frame_ms,2.5502,
frame_ms,1.9476,
frame_ms,1.8596,
frame_ms,2.2621,
frame_ms,1.8764,
frame_ms,1.8767,
frame_ms,1.8844,
frame_ms,2.2937,
frame_ms,1.8877,
frame_ms,1.8769,
frame_ms,2.2493,
frame_ms,1.8899,
frame_ms,1.8694,
frame_ms,1.8704,
frame_ms,2.3311,
frame_ms,1.9648,
frame_ms,1.8791,
frame_ms,2.244,
frame_ms,1.8611,
frame_ms,1.8643,
frame_ms,1.8702,
