# mode=collision,n=2000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=1007,frames=15130,measured_ticks=719,startup_ms=1240.18,glfw_first_draw_ms=1173.06,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1240.18,process_to_first_frame
glfw_ms,1173.06,glfw_init_to_first_frame
mem_ws_bytes,1.1205e+08,baseline
mem_private_bytes,1.79134e+08,baseline
mem_peak_ws_bytes,1.1205e+08,baseline
mem_ws_bytes,1.1262e+08,after_spawn
mem_private_bytes,1.79679e+08,after_spawn
mem_peak_ws_bytes,1.1262e+08,after_spawn
frame_ms,0.4139,
frame_ms,0.2293,
frame_ms,0.2227,
frame_ms,0.2362,
frame_ms,0.3228,
frame_ms,0.3083,
frame_ms,0.2462,
frame_ms,0.235,
frame_ms,0.2366,
frame_ms,0.2289,
frame_ms,0.2223,
frame_ms,0.2249,
frame_ms,0.242,
frame_ms,0.22,
frame_ms,0.2533,
frame_ms,0.2354,
frame_ms,0.2223,
tick_us,1227.3,4664
frame_ms,2.7591,
frame_ms,0.3662,
frame_ms,0.2985,
frame_ms,0.4527,
frame_ms,0.2928,
frame_ms,0.2486,
frame_ms,0.2146,
frame_ms,0.5006,
frame_ms,0.2482,
frame_ms,0.2473,
frame_ms,0.2247,
frame_ms,0.2259,
frame_ms,0.22,
frame_ms,0.2289,
frame_ms,0.2371,
tick_us,1239.8,4654
frame_ms,2.7214,
frame_ms,0.2667,
frame_ms,0.2891,
frame_ms,0.3587,
frame_ms,0.2402,
frame_ms,0.2296,
frame_ms,0.2153,
frame_ms,0.215,
frame_ms,0.2426,
frame_ms,0.2618,
frame_ms,0.2648,
frame_ms,0.2373,
frame_ms,0.2317,
frame_ms,0.3958,
frame_ms,0.5247,
frame_ms,0.2321,
tick_us,1220.3,4668
frame_ms,2.6649,
frame_ms,0.241,
frame_ms,0.224,
frame_ms,0.2169,
frame_ms,0.6553,
frame_ms,0.2862,
frame_ms,0.2218,
frame_ms,0.2283,
frame_ms,0.2491,
frame_ms,0.2145,
frame_ms,0.2275,
frame_ms,0.2394,
frame_ms,0.239,
frame_ms,0.2187,
frame_ms,0.2114,
frame_ms,0.24,
frame_ms,0.2291,
frame_ms,0.2874,
tick_us,1219,4654
frame_ms,2.6747,
frame_ms,0.2617,
frame_ms,0.2438,
frame_ms,0.4075,
frame_ms,0.3543,
frame_ms,0.2294,
frame_ms,0.2208,
frame_ms,0.8844,
frame_ms,0.4059,
frame_ms,0.39,
frame_ms,0.3828,
frame_ms,0.3753,
tick_us,1467.6,4650
frame_ms,3.6588,
frame_ms,0.3796,
frame_ms,0.2615,
frame_ms,0.233,
frame_ms,0.245,
frame_ms,0.2159,
frame_ms,0.2117,
frame_ms,0.2447,
frame_ms,0.2489,
frame_ms,1.0034,
tick_us,1294.1,4626
frame_ms,3.0144,
frame_ms,0.271,
frame_ms,0.2244,
frame_ms,0.2365,
frame_ms,0.4619,
frame_ms,0.3467,
frame_ms,0.2611,
frame_ms,0.2595,
frame_ms,0.2915,
