# mode=collision,n=2000,struct=quadtree,cell=64,depth=6,node=4,seed=43,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=10016,measured_ticks=720,startup_ms=1271.52,glfw_first_draw_ms=1205.28,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1271.52,process_to_first_frame
glfw_ms,1205.28,glfw_init_to_first_frame
mem_ws_bytes,1.10625e+08,baseline
mem_private_bytes,1.80986e+08,baseline
mem_peak_ws_bytes,1.10625e+08,baseline
mem_ws_bytes,1.11133e+08,after_spawn
mem_private_bytes,1.81473e+08,after_spawn
mem_peak_ws_bytes,1.11133e+08,after_spawn
frame_ms,0.3763,
frame_ms,0.2452,
frame_ms,0.2421,
frame_ms,1.2459,
tick_us,1922.3,2176
frame_ms,4.1829,
frame_ms,0.2997,
frame_ms,0.2417,
frame_ms,0.234,
frame_ms,0.2283,
frame_ms,0.2251,
frame_ms,0.2219,
frame_ms,0.2345,
frame_ms,0.2329,
frame_ms,0.2548,
frame_ms,0.2356,
frame_ms,0.2227,
frame_ms,0.2431,
tick_us,2023.2,2184
frame_ms,4.678,
frame_ms,0.2777,
frame_ms,0.2348,
frame_ms,0.2383,
frame_ms,0.229,
frame_ms,0.2211,
frame_ms,0.2532,
frame_ms,0.2849,
frame_ms,0.2822,
frame_ms,0.2419,
tick_us,1856.5,2174
frame_ms,3.9591,
frame_ms,0.2784,
frame_ms,0.2456,
frame_ms,0.2388,
frame_ms,0.2385,
frame_ms,0.2289,
frame_ms,0.2216,
frame_ms,0.2205,
frame_ms,0.6246,
frame_ms,0.4637,
frame_ms,0.3752,
tick_us,1958.4,2149
frame_ms,4.2412,
frame_ms,0.3027,
frame_ms,0.2409,
frame_ms,0.2396,
frame_ms,0.2281,
frame_ms,0.2276,
frame_ms,0.2229,
frame_ms,0.2509,
frame_ms,0.2346,
frame_ms,0.2222,
frame_ms,0.2669,
frame_ms,0.2363,
tick_us,2024.6,2152
frame_ms,4.6426,
frame_ms,0.3393,
frame_ms,0.259,
frame_ms,0.2317,
frame_ms,0.2411,
frame_ms,0.2409,
frame_ms,0.2305,
frame_ms,0.2267,
frame_ms,0.2253,
frame_ms,0.2269,
tick_us,1850.8,2158
frame_ms,3.9272,
frame_ms,0.2943,
frame_ms,0.2378,
frame_ms,0.2362,
frame_ms,0.2315,
frame_ms,0.221,
frame_ms,0.2628,
frame_ms,0.2477,
frame_ms,0.5515,
frame_ms,0.4683,
frame_ms,0.3733,
tick_us,1908.1,2175
frame_ms,4.2037,
frame_ms,1.4923,
frame_ms,0.4197,
frame_ms,0.4312,
frame_ms,0.2711,
tick_us,1830.8,2180
frame_ms,3.8387,
frame_ms,0.2811,
frame_ms,0.2425,
frame_ms,0.246,
frame_ms,0.2374,
frame_ms,0.2283,
frame_ms,0.2357,
frame_ms,0.2321,
frame_ms,0.2781,
frame_ms,0.3225,
frame_ms,0.2818,
frame_ms,0.2343,
frame_ms,0.2291,
frame_ms,0.2314,
tick_us,1926.7,2194
frame_ms,3.9605,
frame_ms,0.3264,
frame_ms,0.2459,
frame_ms,0.2289,
frame_ms,0.2266,
frame_ms,0.2276,
frame_ms,0.2274,
frame_ms,0.8222,
frame_ms,0.3345,
frame_ms,0.2737,
tick_us,2013.9,2196
frame_ms,4.0857,
frame_ms,0.3293,
frame_ms,0.2392,
frame_ms,0.2506,
frame_ms,0.2329,
frame_ms,0.2295,
frame_ms,0.225,
frame_ms,0.2274,
frame_ms,0.2205,
frame_ms,0.2386,
frame_ms,0.2375,
frame_ms,0.2308,
frame_ms,0.2281,
tick_us,1875.7,2177
frame_ms,4.1733,
frame_ms,0.2682,
frame_ms,0.2307,
frame_ms,0.3005,
frame_ms,0.2811,
frame_ms,0.2387,
frame_ms,0.2361,
frame_ms,0.2258,
frame_ms,0.2208,
frame_ms,0.2161,
frame_ms,0.2307,
frame_ms,0.2373,
tick_us,1778.8,2189
frame_ms,3.7426,
frame_ms,0.2807,
frame_ms,0.2381,
frame_ms,0.2316,
frame_ms,0.2278,
frame_ms,0.2205,
frame_ms,0.289,
frame_ms,0.2753,
frame_ms,0.7519,
frame_ms,0.2797,
frame_ms,0.2266,
frame_ms,0.2227,
tick_us,1756.4,2186
frame_ms,3.6998,
frame_ms,0.2665,
frame_ms,0.2333,
frame_ms,0.234,
frame_ms,0.233,
frame_ms,0.2336,
frame_ms,0.2442,
frame_ms,0.2384,
frame_ms,0.2269,
frame_ms,0.2596,
frame_ms,0.223,
frame_ms,0.2169,
frame_ms,0.2279,
frame_ms,0.2416,
tick_us,1735.8,2186
frame_ms,4.1897,
frame_ms,0.3098,
frame_ms,0.2638,
frame_ms,0.2247,
frame_ms,0.2269,
frame_ms,0.2255,
frame_ms,0.2764,
frame_ms,0.3371,
frame_ms,0.243,
frame_ms,0.2332,
frame_ms,0.2265,
frame_ms,0.2249,
frame_ms,0.2205,
tick_us,1714.3,2179
frame_ms,3.653,
frame_ms,0.2595,
frame_ms,0.2343,
frame_ms,0.2338,
frame_ms,0.2221,
frame_ms,0.2189,
frame_ms,0.2286,
frame_ms,0.2329,
frame_ms,0.7733,
frame_ms,0.2824,
frame_ms,0.2312,
frame_ms,0.2209,
tick_us,1730.6,2182
frame_ms,3.8096,
frame_ms,0.315,
frame_ms,0.2809,
frame_ms,0.3424,
frame_ms,0.3493,
frame_ms,0.229,
frame_ms,0.2221,
frame_ms,0.227,
frame_ms,0.2279,
frame_ms,0.2269,
frame_ms,0.2268,
frame_ms,0.2485,
frame_ms,0.2391,
tick_us,1830.9,2172
frame_ms,4.1999,
frame_ms,0.2884,
frame_ms,0.2456,
frame_ms,0.2338,
frame_ms,0.2301,
frame_ms,0.2593,
frame_ms,0.2244,
frame_ms,0.224,
frame_ms,0.2203,
frame_ms,0.3991,
frame_ms,0.2534,
frame_ms,0.2229,
tick_us,1712.7,2196
frame_ms,3.6658,
frame_ms,0.272,
frame_ms,0.2302,
frame_ms,0.745,
frame_ms,0.3542,
frame_ms,0.2801,
frame_ms,0.222,
frame_ms,0.3769,
frame_ms,0.3962,
frame_ms,0.2668,
frame_ms,0.2265,
tick_us,1776.1,2204
frame_ms,3.7182,
frame_ms,0.2649,
frame_ms,0.2303,
frame_ms,0.2399,
frame_ms,0.224,
frame_ms,0.2207,
frame_ms,0.2695,
frame_ms,0.2382,
frame_ms,0.2248,
frame_ms,0.2204,
frame_ms,0.2222,
frame_ms,0.2446,
frame_ms,0.2638,
frame_ms,0.2636,
tick_us,1874.3,2200
frame_ms,4.2044,
frame_ms,0.2812,
frame_ms,0.2331,
frame_ms,0.2389,
frame_ms,0.2308,
frame_ms,0.2467,
frame_ms,0.2215,
frame_ms,0.5481,
frame_ms,0.284,
frame_ms,0.2433,
frame_ms,0.3171,
tick_us,1736.9,2215
frame_ms,3.7364,
frame_ms,0.2943,
frame_ms,0.2417,
frame_ms,0.2286,
frame_ms,0.2275,
frame_ms,0.2239,
frame_ms,0.2182,
frame_ms,0.2505,
frame_ms,0.7011,
frame_ms,0.4107,
frame_ms,0.3391,
tick_us,1788.9,2231
frame_ms,3.7715,
frame_ms,0.2694,
frame_ms,0.2346,
frame_ms,0.2374,
frame_ms,0.2342,
frame_ms,0.2209,
frame_ms,0.2586,
frame_ms,0.233,
frame_ms,0.2436,
frame_ms,0.2289,
frame_ms,0.2613,
frame_ms,0.2327,
frame_ms,0.221,
frame_ms,0.2388,
tick_us,1748.9,2238
frame_ms,4.7279,
frame_ms,0.3425,
frame_ms,0.2758,
frame_ms,0.2343,
frame_ms,0.2246,
frame_ms,0.2295,
frame_ms,0.2243,
frame_ms,0.2209,
frame_ms,0.2154,
frame_ms,0.255,
tick_us,1711.9,2234
frame_ms,3.6864,
frame_ms,0.2808,
frame_ms,0.2398,
frame_ms,0.2423,
frame_ms,0.232,
frame_ms,0.2244,
frame_ms,0.2201,
frame_ms,0.2255,
frame_ms,0.2535,
frame_ms,0.5465,
frame_ms,0.2741,
frame_ms,0.2414,
frame_ms,0.2176,
tick_us,1711.5,2242
frame_ms,3.6553,
frame_ms,0.2646,
frame_ms,0.2292,
frame_ms,0.2527,
frame_ms,0.2317,
frame_ms,0.2199,
frame_ms,0.2298,
frame_ms,0.2775,
frame_ms,0.2227,
frame_ms,0.2365,
frame_ms,0.234,
frame_ms,0.2158,
frame_ms,0.262,
frame_ms,0.2752,
frame_ms,0.2354,
tick_us,1679.3,2260
frame_ms,4.0059,
frame_ms,0.2826,
frame_ms,0.2343,
frame_ms,0.2282,
frame_ms,0.226,
frame_ms,0.2429,
frame_ms,0.2239,
frame_ms,0.2272,
frame_ms,0.2204,
frame_ms,0.2932,
frame_ms,0.239,
frame_ms,0.23,
frame_ms,0.2208,
