# mode=render,n=1000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=3278,measured_ticks=0,startup_ms=1236.37,glfw_first_draw_ms=1172.86,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1236.37,process_to_first_frame
glfw_ms,1172.86,glfw_init_to_first_frame
mem_ws_bytes,1.12534e+08,baseline
mem_private_bytes,1.81395e+08,baseline
mem_peak_ws_bytes,1.12534e+08,baseline
mem_ws_bytes,1.12562e+08,after_spawn
mem_private_bytes,1.81395e+08,after_spawn
mem_peak_ws_bytes,1.12562e+08,after_spawn
frame_ms,1.9041,
frame_ms,1.8865,
frame_ms,1.9104,
frame_ms,1.9318,
frame_ms,1.8882,
frame_ms,1.8898,
frame_ms,1.908,
frame_ms,1.9845,
frame_ms,1.8683,
frame_ms,1.9107,
frame_ms,1.8992,
frame_ms,1.9059,
frame_ms,1.8681,
frame_ms,1.8629,
frame_ms,1.9159,
frame_ms,1.9763,
frame_ms,1.8997,
frame_ms,1.9167,
frame_ms,2.0832,
frame_ms,2.078,
frame_ms,1.9273,
frame_ms,1.9067,
frame_ms,1.8884,
frame_ms,1.9227,
frame_ms,1.9598,
frame_ms,1.8639,
frame_ms,1.8809,
frame_ms,1.8806,
frame_ms,1.9035,
frame_ms,1.8724,
frame_ms,1.8644,
frame_ms,2.4677,
frame_ms,1.8942,
frame_ms,1.9731,
frame_ms,1.9005,
frame_ms,2.1108,
frame_ms,1.8876,
frame_ms,2.2068,
frame_ms,1.995,
frame_ms,2.0283,
frame_ms,2.0067,
frame_ms,1.9102,
frame_ms,1.9129,
frame_ms,1.9293,
frame_ms,1.8879,
frame_ms,2.1881,
frame_ms,2.2012,
frame_ms,2.052,
frame_ms,2.2119,
frame_ms,1.9003,
frame_ms,1.8805,
frame_ms,1.8953,
frame_ms,1.9104,
frame_ms,1.8727,
frame_ms,1.9077,
frame_ms,1.8718,
frame_ms,2.1685,
frame_ms,2.0172,
frame_ms,1.9902,
frame_ms,1.9214,
frame_ms,1.9024,
frame_ms,1.853,
frame_ms,2.0002,
frame_ms,1.9612,
frame_ms,1.9675,
frame_ms,1.8844,
frame_ms,1.9283,
frame_ms,1.8745,
frame_ms,1.9783,
frame_ms,1.8988,
frame_ms,2.0689,
frame_ms,2.1244,
frame_ms,1.9258,
frame_ms,1.9639,
frame_ms,1.8806,
frame_ms,1.9251,
frame_ms,1.8844,
frame_ms,3.1279,
frame_ms,1.9724,
frame_ms,1.8937,
frame_ms,1.9128,
frame_ms,2.0339,
frame_ms,1.91,
frame_ms,1.9236,
frame_ms,1.9106,
frame_ms,1.9424,
frame_ms,1.8857,
frame_ms,1.9258,
frame_ms,1.8678,
frame_ms,1.9246,
frame_ms,1.8793,
frame_ms,1.952,
frame_ms,1.9112,
frame_ms,2.1026,
frame_ms,2.4175,
frame_ms,2.0119,
frame_ms,1.9201,
frame_ms,1.9241,
frame_ms,1.9696,
frame_ms,1.8986,
frame_ms,2.042,
frame_ms,1.9644,
frame_ms,2.0365,
frame_ms,2.0773,
frame_ms,2.0045,
frame_ms,1.9074,
frame_ms,1.9191,
frame_ms,1.873,
frame_ms,2.4701,
frame_ms,1.9925,
frame_ms,1.9237,
frame_ms,1.8688,
frame_ms,1.9298,
frame_ms,1.8828,
frame_ms,2.009,
frame_ms,2.2032,
frame_ms,1.8778,
frame_ms,1.8962,
frame_ms,1.8924,
frame_ms,1.9341,
frame_ms,1.874,
frame_ms,2.0001,
frame_ms,1.9061,
frame_ms,1.9332,
frame_ms,1.9586,
frame_ms,1.9399,
frame_ms,1.9045,
frame_ms,1.8815,
frame_ms,1.8713,
frame_ms,1.94,
frame_ms,2.0368,
frame_ms,1.9365,
frame_ms,2.0508,
frame_ms,2.1003,
frame_ms,2.1657,
frame_ms,2.0297,
frame_ms,2.1539,
frame_ms,1.8786,
frame_ms,1.9233,
frame_ms,1.9058,
frame_ms,2.6171,
frame_ms,1.9597,
frame_ms,1.9021,
frame_ms,1.9268,
frame_ms,2.0384,
frame_ms,1.9986,
frame_ms,1.8993,
frame_ms,1.9001,
frame_ms,1.9981,
frame_ms,1.8651,
frame_ms,1.94,
frame_ms,1.8643,
frame_ms,1.8677,
frame_ms,1.8752,
frame_ms,1.956,
frame_ms,1.9615,
frame_ms,1.8775,
frame_ms,2.1904,
frame_ms,2.0624,
frame_ms,1.9898,
frame_ms,1.86,
frame_ms,1.9342,
frame_ms,1.8543,
frame_ms,2.2078,
frame_ms,1.8802,
frame_ms,2.119,
frame_ms,2.0452,
frame_ms,1.9035,
