# mode=scene,n=2000,struct=grid,cell=64,depth=5,node=4,seed=43,warmup_s=2,measure_s=5,config=2D,ticks=1008,frames=1528,measured_ticks=0,startup_ms=1281.58,glfw_first_draw_ms=1215.23,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1281.58,process_to_first_frame
glfw_ms,1215.23,glfw_init_to_first_frame
mem_ws_bytes,1.12808e+08,baseline
mem_private_bytes,1.81543e+08,baseline
mem_peak_ws_bytes,1.12808e+08,baseline
mem_ws_bytes,1.13402e+08,after_spawn
mem_private_bytes,1.82125e+08,after_spawn
mem_peak_ws_bytes,1.13402e+08,after_spawn
frame_ms,4.7343,
frame_ms,3.5445,
frame_ms,4.7091,
frame_ms,4.7479,
frame_ms,3.4864,
frame_ms,4.6907,
frame_ms,3.71,
frame_ms,4.9353,
frame_ms,4.9138,
frame_ms,3.6243,
frame_ms,4.7142,
frame_ms,4.7107,
frame_ms,3.5002,
frame_ms,4.7008,
frame_ms,3.6192,
frame_ms,4.7221,
frame_ms,4.7079,
frame_ms,3.5036,
frame_ms,4.6951,
frame_ms,3.5034,
frame_ms,4.7867,
frame_ms,4.7117,
frame_ms,3.4906,
frame_ms,4.721,
frame_ms,4.7261,
frame_ms,3.4935,
frame_ms,4.7373,
frame_ms,3.4933,
frame_ms,4.7443,
frame_ms,4.7351,
frame_ms,3.5935,
frame_ms,4.7285,
frame_ms,3.4988,
frame_ms,4.6966,
frame_ms,4.7159,
frame_ms,3.5493,
frame_ms,4.7122,
frame_ms,3.4982,
frame_ms,4.7588,
frame_ms,4.7391,
frame_ms,3.4877,
frame_ms,4.764,
frame_ms,4.747,
frame_ms,3.5021,
frame_ms,4.7231,
frame_ms,3.5086,
frame_ms,4.7206,
frame_ms,4.6932,
frame_ms,4.6379,
frame_ms,4.9453,
frame_ms,5.1295,
frame_ms,3.4877,
frame_ms,4.6912,
frame_ms,4.7172,
frame_ms,3.6794,
frame_ms,5.0444,
frame_ms,4.7811,
frame_ms,3.5118,
frame_ms,4.7199,
frame_ms,3.5369,
frame_ms,4.7032,
frame_ms,4.7048,
frame_ms,3.4789,
frame_ms,4.7236,
frame_ms,3.5212,
frame_ms,4.7098,
frame_ms,4.7468,
frame_ms,3.5249,
frame_ms,4.695,
frame_ms,3.4974,
frame_ms,4.9009,
frame_ms,4.6939,
frame_ms,3.5004,
frame_ms,4.7171,
frame_ms,4.734,
frame_ms,3.5122,
frame_ms,4.7045,
frame_ms,3.5126,
frame_ms,4.7366,
frame_ms,4.7186,
frame_ms,3.5024,
frame_ms,4.6956,
frame_ms,3.5054,
frame_ms,4.7396,
frame_ms,4.7832,
frame_ms,3.4985,
frame_ms,4.71,
frame_ms,4.7082,
frame_ms,3.4921,
frame_ms,4.7101,
frame_ms,3.4806,
frame_ms,4.7129,
frame_ms,4.8375,
frame_ms,3.5092,
frame_ms,4.7087,
frame_ms,3.6104,
frame_ms,4.7379,
frame_ms,4.7442,
frame_ms,3.5187,
frame_ms,4.7194,
frame_ms,4.7045,
frame_ms,3.4734,
frame_ms,4.9415,
frame_ms,3.8843,
frame_ms,4.936,
frame_ms,4.7572,
frame_ms,3.5254,
frame_ms,4.7069,
frame_ms,4.6875,
frame_ms,3.5014,
frame_ms,4.8063,
frame_ms,3.5021,
frame_ms,4.7596,
frame_ms,4.7428,
frame_ms,3.5368,
frame_ms,4.8005,
frame_ms,4.8682,
frame_ms,3.6879,
frame_ms,4.7619,
frame_ms,3.5339,
frame_ms,5.1377,
frame_ms,4.8415,
frame_ms,3.5082,
frame_ms,4.7514,
frame_ms,4.8416,
frame_ms,3.5196,
frame_ms,4.7406,
frame_ms,3.582,
frame_ms,4.7195,
frame_ms,4.699,
frame_ms,3.5012,
frame_ms,4.7248,
frame_ms,3.5439,
frame_ms,4.9593,
frame_ms,4.8327,
frame_ms,3.5956,
frame_ms,4.7422,
frame_ms,4.7233,
frame_ms,3.5166,
frame_ms,4.7427,
frame_ms,3.5063,
frame_ms,4.7101,
frame_ms,4.8317,
frame_ms,3.505,
frame_ms,4.7053,
frame_ms,4.7313,
frame_ms,3.6888,
frame_ms,5.0237,
frame_ms,3.4971,
frame_ms,5.035,
frame_ms,4.7755,
frame_ms,3.5525,
frame_ms,4.7221,
frame_ms,4.9071,
frame_ms,3.5594,
frame_ms,4.7305,
frame_ms,5.1349,
frame_ms,3.5289,
frame_ms,4.71,
frame_ms,3.5112,
frame_ms,4.8222,
frame_ms,4.9687,
frame_ms,3.8032,
frame_ms,5.3578,
frame_ms,5.1491,
frame_ms,3.8775,
frame_ms,5.0419,
frame_ms,4.8781,
frame_ms,3.5185,
frame_ms,4.7307,
frame_ms,4.9596,
frame_ms,3.523,
frame_ms,4.7331,
frame_ms,3.5263,
frame_ms,5.0473,
frame_ms,4.7351,
frame_ms,3.5549,
frame_ms,4.7827,
frame_ms,4.7129,
frame_ms,3.5095,
frame_ms,4.7787,
frame_ms,5.3645,
frame_ms,3.5871,
frame_ms,4.7349,
frame_ms,3.504,
frame_ms,4.8223,
frame_ms,4.7475,
frame_ms,3.6863,
frame_ms,4.7772,
frame_ms,4.7452,
frame_ms,3.4962,
frame_ms,4.7483,
frame_ms,3.5248,
frame_ms,4.7221,
frame_ms,4.966,
frame_ms,3.7549,
frame_ms,4.9315,
frame_ms,4.7442,
frame_ms,3.489,
frame_ms,5.7988,
frame_ms,5.2403,
frame_ms,4.0544,
frame_ms,4.9698,
frame_ms,4.7991,
frame_ms,3.5124,
frame_ms,4.7484,
frame_ms,4.7659,
frame_ms,3.5874,
frame_ms,4.7359,
frame_ms,3.5103,
frame_ms,4.7026,
frame_ms,4.7391,
frame_ms,3.5062,
frame_ms,4.7103,
frame_ms,3.5076,
frame_ms,4.7769,
frame_ms,4.6981,
frame_ms,3.6084,
frame_ms,4.7075,
frame_ms,4.7054,
frame_ms,3.8686,
frame_ms,4.9193,
frame_ms,5.1169,
frame_ms,3.5779,
frame_ms,4.7311,
frame_ms,3.5152,
frame_ms,4.7124,
frame_ms,4.6982,
frame_ms,3.4895,
frame_ms,4.7045,
frame_ms,3.5023,
frame_ms,4.7781,
frame_ms,4.704,
frame_ms,3.494,
frame_ms,4.7004,
frame_ms,3.6333,
frame_ms,4.797,
frame_ms,4.7019,
frame_ms,3.7768,
frame_ms,4.8291,
frame_ms,4.7271,
frame_ms,3.5185,
frame_ms,4.769,
frame_ms,3.619,
frame_ms,4.7133,
frame_ms,4.8014,
frame_ms,3.7362,
frame_ms,4.9869,
frame_ms,4.7982,
frame_ms,3.7004,
frame_ms,5.1445,
frame_ms,4.8369,
frame_ms,3.5877,
frame_ms,4.8446,
frame_ms,4.8232,
frame_ms,3.5205,
frame_ms,4.8209,
frame_ms,3.5962,
frame_ms,4.7476,
frame_ms,5.2914,
frame_ms,3.6307,
frame_ms,4.7409,
frame_ms,4.9611,
frame_ms,3.6442,
frame_ms,4.8143,
frame_ms,3.5159,
frame_ms,4.7907,
frame_ms,4.7812,
frame_ms,3.5233,
frame_ms,4.723,
frame_ms,4.7761,
frame_ms,3.508,
frame_ms,4.7186,
frame_ms,3.8308,
frame_ms,5.2019,
frame_ms,4.9987,
frame_ms,3.5761,
frame_ms,4.7249,
frame_ms,4.7191,
frame_ms,3.4912,
frame_ms,4.717,
frame_ms,4.7625,
frame_ms,3.5104,
frame_ms,4.7569,
frame_ms,3.5758,
frame_ms,4.958,
frame_ms,4.7069,
frame_ms,3.5073,
frame_ms,4.7115,
frame_ms,3.5572,
frame_ms,4.7082,
frame_ms,4.7682,
frame_ms,3.5573,
frame_ms,4.7206,
frame_ms,4.7207,
frame_ms,3.5383,
frame_ms,4.7505,
frame_ms,3.5077,
frame_ms,4.6948,
frame_ms,4.7366,
frame_ms,3.4875,
frame_ms,4.7036,
frame_ms,3.4913,
frame_ms,4.71,
frame_ms,4.7583,
frame_ms,3.4888,
frame_ms,4.7666,
frame_ms,4.703,
frame_ms,3.4951,
frame_ms,4.6973,
frame_ms,3.7889,
frame_ms,5.0512,
frame_ms,4.9303,
frame_ms,3.5003,
frame_ms,4.7293,
frame_ms,4.7073,
frame_ms,3.9295,
frame_ms,4.7812,
frame_ms,3.6039,
frame_ms,4.7315,
frame_ms,4.7206,
frame_ms,3.4812,
frame_ms,4.715,
frame_ms,4.8803,
frame_ms,3.5258,
frame_ms,4.7713,
frame_ms,3.4856,
frame_ms,4.7727,
frame_ms,4.986,
frame_ms,3.6501,
frame_ms,4.9891,
frame_ms,4.9838,
frame_ms,3.4908,
frame_ms,4.7157,
frame_ms,3.4977,
frame_ms,4.8018,
frame_ms,4.7201,
frame_ms,3.4904,
frame_ms,4.7053,
frame_ms,4.7638,
frame_ms,3.512,
frame_ms,4.7387,
frame_ms,3.4798,
frame_ms,4.7038,
frame_ms,4.7638,
frame_ms,3.4845,
frame_ms,4.7566,
frame_ms,3.6085,
frame_ms,4.9413,
frame_ms,4.9096,
frame_ms,3.5794,
frame_ms,4.7337,
frame_ms,4.7225,
frame_ms,3.6049,
frame_ms,4.9044,
frame_ms,4.8916,
frame_ms,3.8221,
frame_ms,4.913,
frame_ms,5.1591,
frame_ms,3.5606,
frame_ms,4.7273,
frame_ms,3.5152,
frame_ms,4.7172,
frame_ms,4.7228,
frame_ms,3.4887,
frame_ms,4.7194,
frame_ms,3.4851,
frame_ms,4.7658,
frame_ms,4.7402,
frame_ms,3.5048,
frame_ms,4.7016,
frame_ms,4.9416,
frame_ms,3.4952,
frame_ms,4.8021,
frame_ms,3.5071,
frame_ms,4.7523,
frame_ms,4.8779,
frame_ms,3.5005,
frame_ms,4.7416,
frame_ms,3.5041,
frame_ms,4.6996,
frame_ms,4.7458,
frame_ms,3.5237,
frame_ms,4.7169,
frame_ms,4.7232,
frame_ms,3.5178,
frame_ms,4.7041,
frame_ms,3.4924,
frame_ms,4.7568,
frame_ms,4.8739,
frame_ms,3.5783,
frame_ms,4.7436,
frame_ms,3.4893,
frame_ms,4.7017,
frame_ms,4.7845,
frame_ms,3.4981,
frame_ms,4.7067,
frame_ms,4.88,
frame_ms,3.8267,
frame_ms,4.8925,
frame_ms,4.7997,
frame_ms,3.5506,
frame_ms,4.7154,
frame_ms,3.8096,
frame_ms,4.9957,
frame_ms,5.0645,
frame_ms,3.5327,
frame_ms,4.7227,
frame_ms,4.7424,
frame_ms,3.5069,
frame_ms,4.7339,
frame_ms,3.795,
frame_ms,4.7965,
frame_ms,4.7607,
frame_ms,3.5412,
frame_ms,4.8198,
frame_ms,4.7167,
frame_ms,3.5066,
frame_ms,4.7285,
frame_ms,3.4924,
frame_ms,4.718,
frame_ms,5.4077,
frame_ms,5.4913,
frame_ms,3.5259,
frame_ms,5.9,
frame_ms,4.7656,
frame_ms,3.5124,
frame_ms,4.7505,
frame_ms,3.4967,
frame_ms,4.8614,
frame_ms,4.7143,
frame_ms,3.4929,
frame_ms,4.7941,
frame_ms,4.8075,
frame_ms,3.4948,
frame_ms,4.75,
frame_ms,3.5046,
frame_ms,4.7093,
frame_ms,4.719,
frame_ms,3.4958,
frame_ms,4.7618,
frame_ms,3.5204,
frame_ms,4.7859,
frame_ms,4.8155,
frame_ms,3.526,
frame_ms,4.7095,
frame_ms,4.721,
frame_ms,3.5209,
frame_ms,4.7268,
frame_ms,3.5433,
frame_ms,4.9712,
frame_ms,4.7503,
frame_ms,3.4941,
frame_ms,4.76,
frame_ms,3.5011,
frame_ms,4.6906,
