# mode=collision,n=4000,struct=quadtree,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=3D,ticks=380,frames=76,measured_ticks=281,startup_ms=1155.85,glfw_first_draw_ms=1105.5,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,1155.85,process_to_first_frame
glfw_ms,1105.5,glfw_init_to_first_frame
mem_ws_bytes,1.12136e+08,baseline
mem_private_bytes,1.80486e+08,baseline
mem_peak_ws_bytes,1.12136e+08,baseline
mem_ws_bytes,1.13811e+08,after_spawn
mem_private_bytes,1.82329e+08,after_spawn
mem_peak_ws_bytes,1.13811e+08,after_spawn
tick_us,9341.6,818
tick_us,9292.2,848
frame_ms,97.652,
tick_us,9272.9,860
tick_us,9525.5,862
tick_us,9297.6,858
tick_us,9206.5,852
tick_us,9093,850
frame_ms,93.863,
tick_us,9604,844
tick_us,9255,834
tick_us,9189.4,834
tick_us,9215.2,812
tick_us,9145,788
frame_ms,93.8326,
tick_us,9125.4,776
tick_us,9237.1,772
tick_us,9064.8,790
tick_us,9186.8,802
tick_us,9239.2,798
frame_ms,93.0853,
tick_us,9120.2,800
tick_us,9744.5,814
tick_us,9581.8,802
tick_us,9550.3,796
tick_us,9486,806
frame_ms,96.775,
tick_us,10080.4,816
tick_us,9583.4,826
tick_us,9421.7,830
tick_us,9301.5,842
tick_us,9944,838
frame_ms,97.6163,
tick_us,9353.7,834
tick_us,9597.8,812
tick_us,9167.1,808
tick_us,9119.8,822
tick_us,9137.5,816
frame_ms,93.305,
tick_us,9093.3,832
tick_us,9601.8,860
tick_us,9136.4,838
tick_us,9134.8,828
tick_us,9255.6,818
frame_ms,93.1358,
tick_us,9173.1,840
tick_us,9007.2,840
tick_us,9416.5,836
tick_us,8972,840
tick_us,9180.4,840
frame_ms,92.6272,
tick_us,9618.1,834
tick_us,9118.8,806
tick_us,8861.1,800
tick_us,8811.6,814
tick_us,8786,804
frame_ms,91.1542,
tick_us,9099.3,780
tick_us,8860.3,798
tick_us,9272.6,820
tick_us,8950.6,818
tick_us,8843.1,822
frame_ms,91.7682,
tick_us,8675,826
tick_us,8960.3,838
tick_us,8576.5,864
tick_us,8662.9,858
tick_us,8587.8,874
frame_ms,88.0169,
tick_us,8917.7,856
tick_us,9343.1,874
tick_us,8907.5,868
tick_us,8790.7,860
tick_us,8699.5,856
frame_ms,89.9137,
tick_us,8653,848
tick_us,8543.4,872
tick_us,8362.4,868
tick_us,8345.9,872
tick_us,8193.3,872
frame_ms,85.1786,
tick_us,8299.3,864
tick_us,8438.3,856
tick_us,8440.5,870
tick_us,8403.3,886
tick_us,8273.5,890
frame_ms,85.4576,
tick_us,8414.8,894
tick_us,8705.7,878
tick_us,8498.3,878
tick_us,8641.9,884
tick_us,8655.7,874
frame_ms,87.7266,
tick_us,8645.8,868
tick_us,8985.8,876
tick_us,9010.5,864
tick_us,8756.3,852
tick_us,8860,850
frame_ms,90,
tick_us,8919.2,840
tick_us,9018.4,836
tick_us,8640.1,834
tick_us,8686.2,848
tick_us,8839.7,844
frame_ms,89.3579,
tick_us,8895.5,834
tick_us,9659.7,832
tick_us,8980,832
tick_us,9071.3,826
tick_us,9034.5,824
frame_ms,92.1353,
tick_us,9076.1,846
tick_us,9051,836
tick_us,9118.2,830
tick_us,9027.7,828
tick_us,8911.8,804
frame_ms,91.8092,
tick_us,9226,792
tick_us,9971.8,794
tick_us,8922,768
tick_us,8991.4,764
tick_us,9000.8,768
frame_ms,92.6076,
tick_us,8913.7,772
tick_us,9067.8,768
tick_us,8925.2,786
tick_us,8887.2,792
tick_us,8897.2,766
frame_ms,90.3693,
tick_us,8952.4,760
tick_us,10527.8,772
tick_us,8957.8,766
tick_us,8863.7,770
tick_us,8831.5,752
frame_ms,93.1707,
tick_us,8914.7,740
tick_us,9043.3,754
tick_us,9332.7,750
tick_us,8974,744
tick_us,8919.3,756
frame_ms,91.5613,
tick_us,8981.3,786
tick_us,8796,778
tick_us,8664.1,808
tick_us,8511.8,816
tick_us,8576.7,798
frame_ms,88.1989,
tick_us,8724.4,790
tick_us,8689,788
tick_us,8545,804
tick_us,8465.8,810
tick_us,8365.3,814
frame_ms,86.8877,
tick_us,8436.8,826
tick_us,9405.6,840
tick_us,8622.3,822
tick_us,8815.6,820
tick_us,8678.4,826
frame_ms,88.4492,
tick_us,8449.6,828
tick_us,8714.3,814
tick_us,8264.7,804
tick_us,8449.8,810
tick_us,8160.5,814
frame_ms,85.3194,
tick_us,8393.5,832
tick_us,8844.3,802
tick_us,8250.8,800
tick_us,7979.1,804
tick_us,8054.8,822
frame_ms,83.8348,
tick_us,8269,826
tick_us,8058.2,826
tick_us,8048.4,834
tick_us,8104,840
tick_us,8233.4,830
frame_ms,83.487,
tick_us,8322.5,836
tick_us,8395.1,820
tick_us,8975.5,814
tick_us,8631.5,808
tick_us,8706.3,798
frame_ms,87.1867,
tick_us,8828.2,772
tick_us,8650.6,766
tick_us,8448.6,768
tick_us,8344.5,752
tick_us,8417.9,768
frame_ms,86.4601,
tick_us,8462.6,756
tick_us,8430.3,758
tick_us,8448.9,786
tick_us,8445.1,782
tick_us,8440.1,800
frame_ms,85.6889,
tick_us,8445,814
tick_us,8874.5,822
tick_us,8831,840
tick_us,8601.1,840
tick_us,8476.1,836
frame_ms,87.4486,
tick_us,8355.9,820
tick_us,8283,818
tick_us,8263,818
tick_us,8141.8,836
tick_us,8159.7,836
frame_ms,83.3878,
tick_us,8199,826
tick_us,8784.7,820
tick_us,8001.2,838
tick_us,8022,830
tick_us,8034.3,852
frame_ms,83.0442,
tick_us,8379,850
tick_us,8443.5,844
tick_us,8311.2,840
tick_us,8371.5,842
tick_us,8385.7,860
frame_ms,85.3131,
tick_us,8473.5,854
tick_us,8419.9,868
tick_us,8303.1,868
tick_us,8193.4,852
tick_us,8271.6,850
frame_ms,84.4907,
tick_us,8328.1,822
tick_us,8423.8,842
tick_us,8362.3,844
tick_us,8333.5,846
tick_us,8428.8,850
frame_ms,85.7759,
tick_us,8426,862
tick_us,8814.8,826
tick_us,8281.3,830
tick_us,8291.5,824
tick_us,8684.3,854
frame_ms,86.1842,
tick_us,8716.9,836
tick_us,8700.8,824
tick_us,8561.7,826
tick_us,9062.9,834
tick_us,8629.4,836
frame_ms,88.5134,
tick_us,8635.4,840
tick_us,8549,846
tick_us,8570.8,822
tick_us,9136.7,804
tick_us,8737.2,826
frame_ms,88.6587,
tick_us,8972.8,824
tick_us,8881.6,816
tick_us,9426,810
tick_us,9147.2,796
tick_us,9215.5,800
frame_ms,92.5792,
tick_us,9279.4,794
tick_us,9594.6,802
tick_us,9000.6,818
tick_us,8956.8,818
tick_us,8907,848
frame_ms,92.026,
tick_us,9002.5,860
tick_us,9290.4,846
tick_us,8697,810
tick_us,8813.8,806
tick_us,8804.4,782
frame_ms,90.1679,
tick_us,8868.1,782
tick_us,9083.3,776
tick_us,8809.4,778
tick_us,8708.4,772
tick_us,8841.8,764
frame_ms,90.3205,
tick_us,9487.6,784
tick_us,9010.6,776
tick_us,8759.5,776
tick_us,8672.2,784
tick_us,8713.8,764
frame_ms,89.9897,
tick_us,8714.9,770
tick_us,9226.5,752
tick_us,8835.5,748
tick_us,8730.5,736
tick_us,8397.8,742
frame_ms,88.7143,
tick_us,8466.5,742
tick_us,8755.7,734
tick_us,8447.3,732
tick_us,8353.7,718
tick_us,8316.4,718
frame_ms,85.9553,
tick_us,8463.6,736
tick_us,9025.4,770
tick_us,8652.8,788
tick_us,8538.2,782
tick_us,8436.7,794
frame_ms,87.3892,
tick_us,8567.5,808
tick_us,8924.2,806
tick_us,8283.3,776
tick_us,8096.2,782
tick_us,8147,750
frame_ms,84.7946,
tick_us,8123.4,752
tick_us,8772.7,780
tick_us,8338.6,784
tick_us,8712.4,798
tick_us,8196.9,792
frame_ms,85.2623,
tick_us,8336.5,796
tick_us,8170.2,778
tick_us,8137.7,786
tick_us,8328.7,768
tick_us,8148.8,784
frame_ms,83.3598,
tick_us,8599.6,778
tick_us,8520.1,776
tick_us,8429.7,770
tick_us,8064.6,794
tick_us,8364.4,784
frame_ms,84.8461,
tick_us,8348.8,776
tick_us,8166.3,762
tick_us,8216.5,778
tick_us,8293.8,778
tick_us,8230,784
frame_ms,83.9758,
tick_us,8470.5,778
tick_us,8338.9,778
tick_us,8461.9,764
tick_us,9348.7,794
tick_us,8672.8,792
frame_ms,87.2621,
tick_us,9316.5,802
tick_us,8711.1,800
tick_us,8979.1,792
tick_us,8757.4,796
