# mode=scene,n=10000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=270,frames=54,measured_ticks=0,startup_ms=1560.69,glfw_first_draw_ms=1505.4,renderer=Intel(R) Graphics,gl=3.3.0 - Build 32.0.101.8724
kind,value,extra
startup_ms,1560.69,process_to_first_frame
glfw_ms,1505.4,glfw_init_to_first_frame
mem_ws_bytes,7.95279e+07,baseline
mem_private_bytes,5.26377e+07,baseline
mem_peak_ws_bytes,7.95279e+07,baseline
mem_ws_bytes,8.32963e+07,after_spawn
mem_private_bytes,5.60251e+07,after_spawn
mem_peak_ws_bytes,8.32963e+07,after_spawn
frame_ms,131.097,
frame_ms,130.084,
frame_ms,130.88,
frame_ms,129.823,
frame_ms,129.967,
frame_ms,131.483,
frame_ms,129.514,
frame_ms,130.876,
frame_ms,129.897,
frame_ms,130.659,
frame_ms,130.37,
frame_ms,130.472,
frame_ms,130.121,
frame_ms,131.463,
frame_ms,130.655,
frame_ms,129.484,
frame_ms,130.615,
frame_ms,129.702,
frame_ms,131.629,
frame_ms,130.244,
frame_ms,129.621,
frame_ms,128.979,
frame_ms,129.279,
frame_ms,130.738,
frame_ms,129.924,
frame_ms,130.043,
frame_ms,130.905,
frame_ms,129.966,
frame_ms,131.274,
frame_ms,130.244,
frame_ms,129.873,
frame_ms,128.987,
frame_ms,129.694,
frame_ms,129.544,
frame_ms,130.678,
frame_ms,130.247,
frame_ms,130.988,
frame_ms,130.018,
