# mode=pairtest,n=1000,struct=grid,cell=64,depth=5,node=4,seed=42,warmup_s=2,measure_s=5,config=2D,ticks=1,frames=0,measured_ticks=0,startup_ms=3662.05,glfw_first_draw_ms=3536.87,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,3662.05,process_to_first_frame
glfw_ms,3536.87,glfw_init_to_first_frame
mem_ws_bytes,1.12173e+08,baseline
mem_private_bytes,1.80945e+08,baseline
mem_peak_ws_bytes,1.12746e+08,baseline
mem_ws_bytes,1.12206e+08,after_spawn
mem_private_bytes,1.80945e+08,after_spawn
mem_peak_ws_bytes,1.12746e+08,after_spawn
pair_callbacks,1,A
pair_callbacks,1,B
pair_callbacks,2,total
