# mode=scene,n=10000,struct=grid,cell=64,depth=5,node=4,seed=44,warmup_s=2,measure_s=5,config=2D,ticks=235,frames=47,measured_ticks=0,startup_ms=2509.98,glfw_first_draw_ms=2456.38,renderer=NVIDIA GeForce RTX 5060 Laptop GPU/PCIe/SSE2,gl=3.3.0 NVIDIA 592.01
kind,value,extra
startup_ms,2509.98,process_to_first_frame
glfw_ms,2456.38,glfw_init_to_first_frame
mem_ws_bytes,1.12427e+08,baseline
mem_private_bytes,1.82518e+08,baseline
mem_peak_ws_bytes,1.12427e+08,baseline
mem_ws_bytes,1.16036e+08,after_spawn
mem_private_bytes,1.86503e+08,after_spawn
mem_peak_ws_bytes,1.18227e+08,after_spawn
frame_ms,136.673,
frame_ms,137.151,
frame_ms,137.875,
frame_ms,137.72,
frame_ms,136.233,
frame_ms,136.375,
frame_ms,136.777,
frame_ms,140.216,
frame_ms,137.778,
frame_ms,139.452,
frame_ms,137.52,
frame_ms,135.867,
frame_ms,137.317,
frame_ms,137.705,
frame_ms,135.552,
frame_ms,135.949,
frame_ms,134.965,
frame_ms,135.244,
frame_ms,135.017,
frame_ms,134.734,
frame_ms,134.222,
frame_ms,136.095,
frame_ms,136.711,
frame_ms,136.127,
frame_ms,135.927,
frame_ms,137.435,
frame_ms,138.429,
frame_ms,138.188,
frame_ms,137.219,
frame_ms,138.529,
frame_ms,138.831,
frame_ms,136.451,
frame_ms,137.149,
frame_ms,136.64,
frame_ms,135.202,
frame_ms,135.625,
